"_id","_index","_score","_type","acceleration","batteryPercentage","cyclicCount","instanceId","nearest","timestamp"
"1634425822254-00003afc","diract-proximity",,"_doc","['0.938','0.375','-0.187']",78,1,"00003afc","[{'instanceId':'0000004d','rssi':-67},{'instanceId':'00000058','rssi':-67},{'instanceId':'0000004e','rssi':-71}]","Oct 16, 2021 @ 19:10:21"
"1634425763039-0000a7c0","diract-proximity",,"_doc","['-0.937','-0.25','-0.062']",79,7,"0000a7c0","[{'instanceId':'00000058','rssi':-68},{'instanceId':'000000ae','rssi':-72},{'instanceId':'00000059','rssi':-72}]","Oct 16, 2021 @ 19:09:22"
"1634425762467-00003afc","diract-proximity",,"_doc","['0.688','0.313','-0.375']",78,6,"00003afc","[{'instanceId':'00000058','rssi':-67},{'instanceId':'000000a9','rssi':-68},{'instanceId':'0000004d','rssi':-72}]","Oct 16, 2021 @ 19:09:21"
"1634425761633-0000a7c0","diract-proximity",,"_doc","['-0.875','0.125','-0.125']",79,6,"0000a7c0","[{'instanceId':'00000058','rssi':-65},{'instanceId':'0000004d','rssi':-69},{'instanceId':'000000ae','rssi':-71}]","Oct 16, 2021 @ 19:09:20"
"1634425760061-0000a7c0","diract-proximity",,"_doc","['-1','0.063','-0.25']",79,5,"0000a7c0","[]","Oct 16, 2021 @ 19:09:19"
"1634425759440-00003afc","diract-proximity",,"_doc","['0.875','0.438','-0.187']",78,4,"00003afc","[{'instanceId':'00000058','rssi':-65},{'instanceId':'000000ae','rssi':-67},{'instanceId':'0000004d','rssi':-68}]","Oct 16, 2021 @ 19:09:18"
"1634425757256-0000a7c0","diract-proximity",,"_doc","['-1','0.063','-0.25']",79,3,"0000a7c0","[{'instanceId':'00000058','rssi':-71},{'instanceId':'00000061','rssi':-72},{'instanceId':'000000ae','rssi':-72}]","Oct 16, 2021 @ 19:09:16"
"1634425757010-00003afc","diract-proximity",,"_doc","['0.813','0.5','-0.187']",78,3,"00003afc","[{'instanceId':'00000058','rssi':-66},{'instanceId':'0000004d','rssi':-68},{'instanceId':'000000ae','rssi':-70}]","Oct 16, 2021 @ 19:09:16"
"1634425755863-0000a7c0","diract-proximity",,"_doc","['-1','0.063','-0.312']",79,2,"0000a7c0","[{'instanceId':'000000ae','rssi':-73},{'instanceId':'0000004d','rssi':-74},{'instanceId':'000000af','rssi':-75}]","Oct 16, 2021 @ 19:09:14"
"1634425755201-00003afc","diract-proximity",,"_doc","['0.75','0.563','-0.312']",78,2,"00003afc","[{'instanceId':'0000004d','rssi':-67},{'instanceId':'000000ae','rssi':-68},{'instanceId':'000000a9','rssi':-70}]","Oct 16, 2021 @ 19:09:14"
"1634425753801-00003afc","diract-proximity",,"_doc","['0.75','0.563','-0.312']",78,2,"00003afc","[{'instanceId':'0000004d','rssi':-67},{'instanceId':'000000ae','rssi':-68},{'instanceId':'000000a9','rssi':-70}]","Oct 16, 2021 @ 19:09:12"
"1634425752386-00003afc","diract-proximity",,"_doc","['0.813','0.5','-0.312']",78,7,"00003afc","[{'instanceId':'0000004d','rssi':-67},{'instanceId':'000000ae','rssi':-67},{'instanceId':'000000a9','rssi':-68}]","Oct 16, 2021 @ 19:09:11"
"1634425752284-0000a7c0","diract-proximity",,"_doc","['-1','0.063','-0.312']",79,0,"0000a7c0","[{'instanceId':'0000004d','rssi':-71},{'instanceId':'00000061','rssi':-74},{'instanceId':'000000ae','rssi':-75}]","Oct 16, 2021 @ 19:09:11"
"1634425749602-00003afc","diract-proximity",,"_doc","['0.875','0.375','-0.375']",78,5,"00003afc","[{'instanceId':'0000004e','rssi':-68},{'instanceId':'000000af','rssi':-71},{'instanceId':'00000059','rssi':-71}]","Oct 16, 2021 @ 19:09:08"
"1634425749089-0000a7c0","diract-proximity",,"_doc","['-1','0.188','-0.125']",79,5,"0000a7c0","[{'instanceId':'00000058','rssi':-65},{'instanceId':'00000061','rssi':-69}]","Oct 16, 2021 @ 19:09:08"
"1634425746869-00003afc","diract-proximity",,"_doc","['0.875','0.313','-0.312']",78,4,"00003afc","[{'instanceId':'0000004d','rssi':-67},{'instanceId':'00000058','rssi':-68},{'instanceId':'00000061','rssi':-69}]","Oct 16, 2021 @ 19:09:05"
"1634425746254-0000a7c0","diract-proximity",,"_doc","['-1','0.188','0.25']",79,3,"0000a7c0","[{'instanceId':'0000004e','rssi':-70},{'instanceId':'000000a9','rssi':-70},{'instanceId':'00000058','rssi':-73}]","Oct 16, 2021 @ 19:09:05"
"1634425745440-00003afc","diract-proximity",,"_doc","['0.875','0.313','-0.312']",78,4,"00003afc","[{'instanceId':'0000004d','rssi':-67},{'instanceId':'00000058','rssi':-68},{'instanceId':'00000061','rssi':-69}]","Oct 16, 2021 @ 19:09:04"
"1634425745022-0000a7c0","diract-proximity",,"_doc","['-1','0.125','0.25']",79,2,"0000a7c0","[{'instanceId':'000000a9','rssi':-68},{'instanceId':'0000004d','rssi':-68},{'instanceId':'0000004e','rssi':-70}]","Oct 16, 2021 @ 19:09:04"
"1634425743575-00003afc","diract-proximity",,"_doc","['0.875','0.438','0.063']",78,1,"00003afc","[{'instanceId':'00000058','rssi':-66},{'instanceId':'00000061','rssi':-68},{'instanceId':'000000ae','rssi':-68}]","Oct 16, 2021 @ 19:09:02"
