"Puck","distance_1","X1","Y1","distance_2","X2","Y2","distance_3","X3","Y3","timestamp"
"00003afc",2.2506400450122035,0.0,4.0,3.436256510657859,4.0,0.0,3.4339185224700555,4.0,4.0,"Oct 27, 2021 @ 16:18:29"
"00003afc",2.8582938531128628,8.0,4.0,3.436256510657859,8.0,8.0,3.4339185224700555,4.0,4.0,"Oct 27, 2021 @ 16:40:30"
"00003afc",1.6755910815196535,8.0,4.0,2.238433885393905,4.0,8.0,2.849731508369353,4.0,4.0,"Oct 27, 2021 @ 16:40:33"
"00003afc",1.6804130662971681,4.0,8.0,2.238433885393905,8.0,8.0,2.849731508369353,4.0,4.0,"Oct 27, 2021 @ 16:40:36"
"00003afc",1.6893022358482217,8.0,4.0,2.850147392661692,4.0,8.0,3.4323033160592624,4.0,4.0,"Oct 27, 2021 @ 16:40:38"
"00003afc",2.806239280250737,4.0,0.0,3.436256510657859,0.0,4.0,3.4339185224700555,4.0,4.0,"Oct 27, 2021 @ 16:40:39"
"00003afc",2.806239280250737,4.0,0.0,3.436256510657859,0.0,4.0,3.4339185224700555,4.0,4.0,"Oct 27, 2021 @ 16:40:40"
"00003afc",2.8582938531128628,4.0,0.0,3.436256510657859,0.0,0.0,3.4339185224700555,4.0,4.0,"Oct 27, 2021 @ 16:40:43"
"00003afc",2.8582938531128628,4.0,0.0,3.436256510657859,0.0,0.0,3.4339185224700555,4.0,4.0,"Oct 27, 2021 @ 16:40:45"
"00003afc",2.8582938531128628,4.0,0.0,3.4347302851147945,8.0,0.0,3.4323033160592624,4.0,4.0,"Oct 27, 2021 @ 16:40:48"
"00003afc",2.806239280250737,4.0,0.0,3.436256510657859,0.0,0.0,3.4339185224700555,0.0,4.0,"Oct 27, 2021 @ 16:40:51"
"00003afc",2.856452647223879,4.0,8.0,3.436256510657859,0.0,8.0,3.4339185224700555,4.0,4.0,"Oct 27, 2021 @ 16:40:53"
"00003afc",3.4315558536539457,4.0,8.0,3.436256510657859,8.0,4.0,3.4339185224700555,8.0,8.0,"Oct 27, 2021 @ 16:40:55"
"00003afc",1.6804130662971681,8.0,4.0,2.8520066884161923,8.0,8.0,3.4339185224700555,4.0,4.0,"Oct 27, 2021 @ 16:40:57"
"00003afc",1.6804130662971681,8.0,4.0,2.8520066884161923,8.0,8.0,3.4339185224700555,4.0,4.0,"Oct 27, 2021 @ 16:40:58"
"00003afc",2.8582938531128628,4.0,8.0,3.436256510657859,8.0,8.0,3.4339185224700555,4.0,4.0,"Oct 27, 2021 @ 16:41:00"
"00003afc",3.429927404905544,4.0,0.0,3.436256510657859,4.0,4.0,3.4339185224700555,0.0,0.0,"Oct 27, 2021 @ 16:41:03"
"00003afc",3.429927404905544,4.0,0.0,3.436256510657859,4.0,4.0,3.4339185224700555,0.0,0.0,"Oct 27, 2021 @ 16:41:06"
"00003afc",3.429927404905544,4.0,4.0,3.436256510657859,0.0,8.0,3.4339185224700555,4.0,8.0,"Oct 27, 2021 @ 16:41:07"
"00003afc",2.8582938531128628,4.0,4.0,3.436256510657859,8.0,4.0,3.4339185224700555,4.0,0.0,"Oct 27, 2021 @ 16:41:09"
"00003afc",2.8582938531128628,4.0,4.0,3.436256510657859,8.0,4.0,3.4339185224700555,4.0,0.0,"Oct 27, 2021 @ 16:41:11"
"00003afc",2.8582938531128628,4.0,4.0,3.436256510657859,8.0,4.0,3.4339185224700555,4.0,0.0,"Oct 27, 2021 @ 16:41:12"
"00003afc",2.8582938531128628,4.0,4.0,3.436256510657859,8.0,8.0,3.4339185224700555,4.0,8.0,"Oct 27, 2021 @ 16:41:14"
"00003afc",2.856452647223879,4.0,0.0,3.436256510657859,8.0,4.0,3.4339185224700555,4.0,4.0,"Oct 27, 2021 @ 16:41:17"
"00003afc",2.2506400450122035,8.0,4.0,3.4347302851147945,4.0,8.0,3.4323033160592624,4.0,4.0,"Oct 27, 2021 @ 16:41:20"
"00003afc",2.2506400450122035,4.0,0.0,3.436256510657859,8.0,0.0,3.4339185224700555,4.0,4.0,"Oct 27, 2021 @ 16:41:23"
"00003afc",2.2506400450122035,4.0,0.0,3.436256510657859,8.0,0.0,3.4339185224700555,4.0,4.0,"Oct 27, 2021 @ 16:41:26"
"00003afc",2.2506400450122035,4.0,0.0,3.436256510657859,8.0,0.0,3.4339185224700555,4.0,4.0,"Oct 27, 2021 @ 16:41:27"
"00003afc",2.806239280250737,8.0,0.0,2.850147392661692,8.0,4.0,2.849731508369353,4.0,4.0,"Oct 27, 2021 @ 16:41:29"
"00003afc",2.856452647223879,8.0,4.0,2.8520066884161923,8.0,0.0,3.4323033160592624,4.0,4.0,"Oct 27, 2021 @ 16:41:31"
"00003afc",2.856452647223879,8.0,4.0,2.8520066884161923,8.0,0.0,3.4323033160592624,4.0,4.0,"Oct 27, 2021 @ 16:41:32"
"00003afc",2.806239280250737,4.0,0.0,2.812644287638839,8.0,4.0,2.849731508369353,8.0,0.0,"Oct 27, 2021 @ 16:41:34"
"00003afc",2.856452647223879,8.0,4.0,3.4347302851147945,8.0,0.0,3.4339185224700555,4.0,0.0,"Oct 27, 2021 @ 16:41:35"
"00003afc",2.2506400450122035,8.0,0.0,3.4347302851147945,8.0,4.0,3.4339185224700555,4.0,4.0,"Oct 27, 2021 @ 16:41:37"
"00003afc",2.806239280250737,8.0,4.0,2.8520066884161923,8.0,0.0,3.4323033160592624,4.0,4.0,"Oct 27, 2021 @ 16:41:40"
"00003afc",2.8582938531128628,8.0,4.0,3.4347302851147945,8.0,0.0,3.4339185224700555,4.0,4.0,"Oct 27, 2021 @ 16:41:42"
"00003afc",2.8582938531128628,8.0,4.0,3.4347302851147945,8.0,0.0,3.4339185224700555,4.0,4.0,"Oct 27, 2021 @ 16:41:45"
"00003afc",2.856452647223879,8.0,4.0,3.4347302851147945,8.0,0.0,3.4339185224700555,4.0,4.0,"Oct 27, 2021 @ 16:41:46"
"00003afc",1.6893022358482217,4.0,0.0,2.850147392661692,8.0,0.0,3.4323033160592624,8.0,4.0,"Oct 27, 2021 @ 16:41:49"
"00003afc",2.8582938531128628,8.0,4.0,3.4347302851147945,8.0,0.0,3.4339185224700555,4.0,4.0,"Oct 27, 2021 @ 16:41:51"
"00003afc",2.8582938531128628,8.0,4.0,3.4347302851147945,8.0,0.0,3.4339185224700555,4.0,4.0,"Oct 27, 2021 @ 16:41:53"
"00003afc",2.8582938531128628,8.0,4.0,3.4347302851147945,8.0,0.0,3.4339185224700555,4.0,4.0,"Oct 27, 2021 @ 16:41:56"
"00003afc",2.8582938531128628,8.0,4.0,3.4347302851147945,8.0,0.0,3.4339185224700555,4.0,4.0,"Oct 27, 2021 @ 16:41:57"
"00003afc",2.8582938531128628,8.0,4.0,3.4347302851147945,8.0,0.0,3.4339185224700555,4.0,4.0,"Oct 27, 2021 @ 16:42:00"
"00003afc",2.8582938531128628,4.0,8.0,3.436256510657859,8.0,4.0,3.4339185224700555,4.0,4.0,"Oct 27, 2021 @ 16:42:01"
"00003afc",2.8582938531128628,4.0,8.0,3.436256510657859,8.0,4.0,3.4339185224700555,4.0,4.0,"Oct 27, 2021 @ 16:42:03"
"00003afc",2.8582938531128628,4.0,8.0,3.436256510657859,8.0,4.0,3.4339185224700555,4.0,4.0,"Oct 27, 2021 @ 16:42:04"
"00003afc",3.4315558536539457,4.0,0.0,3.436256510657859,0.0,0.0,3.4339185224700555,4.0,4.0,"Oct 27, 2021 @ 16:42:07"
"00003afc",3.4315558536539457,4.0,0.0,3.436256510657859,0.0,0.0,3.4339185224700555,4.0,4.0,"Oct 27, 2021 @ 16:42:10"
"00003afc",2.806239280250737,8.0,4.0,2.812644287638839,8.0,0.0,2.849731508369353,4.0,4.0,"Oct 27, 2021 @ 16:42:12"
"00003afc",2.806239280250737,8.0,4.0,2.812644287638839,8.0,0.0,2.849731508369353,4.0,4.0,"Oct 27, 2021 @ 16:42:13"
