"_id","_index","_score","_type","acceleration","batteryPercentage","cyclicCount","instanceId","nearest","timestamp"
"1635123851057-0000a7c0","diract-proximity",,"_doc","['0.875','0.313','-0.187']",79,6,"0000a7c0","[{'instanceId':'0000004d','rssi':-65},{'instanceId':'00000058','rssi':-68},{'instanceId':'00000059','rssi':-73}]","Oct 24, 2021 @ 21:04:10"
"1635123850033-00003afc","diract-proximity",,"_doc","['-0.875','0.25','-0.437']",76,0,"00003afc","[{'instanceId':'00000059','rssi':-64},{'instanceId':'00000061','rssi':-71},{'instanceId':'00000058','rssi':-71}]","Oct 24, 2021 @ 21:04:09"
"1635123848395-0000a7c0","diract-proximity",,"_doc","['0.875','0.313','-0.187']",79,3,"0000a7c0","[{'instanceId':'0000004d','rssi':-64},{'instanceId':'00000058','rssi':-66},{'instanceId':'000000a9','rssi':-70}]","Oct 24, 2021 @ 21:04:07"
"1635123847075-00003afc","diract-proximity",,"_doc","['-0.937','0.188','-0.25']",76,6,"00003afc","[{'instanceId':'00000059','rssi':-63},{'instanceId':'00000061','rssi':-68},{'instanceId':'000000ae','rssi':-70}]","Oct 24, 2021 @ 21:04:06"
"1635123846962-0000a7c0","diract-proximity",,"_doc","['0.875','0.313','-0.187']",79,3,"0000a7c0","[{'instanceId':'0000004d','rssi':-64},{'instanceId':'00000058','rssi':-66},{'instanceId':'000000a9','rssi':-70}]","Oct 24, 2021 @ 21:04:05"
"1635123845690-00003afc","diract-proximity",,"_doc","['-1','0.063','-0.187']",76,5,"00003afc","[{'instanceId':'00000059','rssi':-68},{'instanceId':'000000ae','rssi':-69},{'instanceId':'00000061','rssi':-71}]","Oct 24, 2021 @ 21:04:04"
"1635123844889-0000a7c0","diract-proximity",,"_doc","['0.688','0.688','0.063']",79,1,"0000a7c0","[{'instanceId':'0000004d','rssi':-63},{'instanceId':'000000ae','rssi':-65},{'instanceId':'00000058','rssi':-69}]","Oct 24, 2021 @ 21:04:03"
"1635123843669-0000a7c0","diract-proximity",,"_doc","['0.875','0.125','0.25']",78,0,"0000a7c0","[{'instanceId':'00000058','rssi':-66},{'instanceId':'00000061','rssi':-72},{'instanceId':'0000004e','rssi':-72}]","Oct 24, 2021 @ 21:04:02"
"1635123843288-00003afc","diract-proximity",,"_doc","['-0.812','0.625','-0.312']",76,4,"00003afc","[{'instanceId':'0000004d','rssi':-59},{'instanceId':'00000059','rssi':-62},{'instanceId':'00000061','rssi':-67}]","Oct 24, 2021 @ 21:04:02"
"1635123841884-00003afc","diract-proximity",,"_doc","['-0.937','0.375','-0.125']",76,3,"00003afc","[{'instanceId':'0000004d','rssi':-61},{'instanceId':'000000a9','rssi':-66},{'instanceId':'00000058','rssi':-66}]","Oct 24, 2021 @ 21:04:00"
