"_id","_index","_score","_type","acceleration","batteryPercentage","cyclicCount","instanceId","nearest","timestamp"
"1635260878505-00003afc","diract-proximity",,"_doc","['-0.75','0.438','0.313']",78,0,"00003afc","[{'instanceId':'0000004d','rssi':-63},{'instanceId':'0000004e','rssi':-66},{'instanceId':'000000af','rssi':-69}]","Oct 26, 2021 @ 11:07:57"
"1635260875616-0000a7c0","diract-proximity",,"_doc","['-1','-0.187','0.063']",81,4,"0000a7c0","[{'instanceId':'0000004d','rssi':-71}]","Oct 26, 2021 @ 11:07:54"
"1635260861632-0000a7c0","diract-proximity",,"_doc","['-0.875','-0.437','-0.375']",81,1,"0000a7c0","[{'instanceId':'0000004d','rssi':-68},{'instanceId':'00000058','rssi':-72},{'instanceId':'00000059','rssi':-72}]","Oct 26, 2021 @ 11:07:40"
"1635260860232-0000a7c0","diract-proximity",,"_doc","['-0.875','-0.437','-0.375']",81,1,"0000a7c0","[{'instanceId':'0000004d','rssi':-68},{'instanceId':'00000058','rssi':-72},{'instanceId':'00000059','rssi':-72}]","Oct 26, 2021 @ 11:07:39"
"1635260859627-00003afc","diract-proximity",,"_doc","['-0.812','0.5','-0.312']",78,5,"00003afc","[{'instanceId':'00000058','rssi':-63},{'instanceId':'00000061','rssi':-66},{'instanceId':'0000004e','rssi':-67}]","Oct 26, 2021 @ 11:07:38"
"1635260858829-0000a7c0","diract-proximity",,"_doc","['-0.875','-0.437','-0.375']",81,7,"0000a7c0","[{'instanceId':'0000004d','rssi':-68},{'instanceId':'000000ae','rssi':-72},{'instanceId':'00000058','rssi':-75}]","Oct 26, 2021 @ 11:07:37"
"1635260856977-00003afc","diract-proximity",,"_doc","['-0.812','0.5','-0.312']",78,3,"00003afc","[{'instanceId':'00000059','rssi':-66},{'instanceId':'000000ae','rssi':-67},{'instanceId':'0000004e','rssi':-69}]","Oct 26, 2021 @ 11:07:35"
"1635260855751-0000a7c0","diract-proximity",,"_doc","['-0.875','-0.437','-0.375']",81,5,"0000a7c0","[{'instanceId':'00000058','rssi':-69},{'instanceId':'0000004d','rssi':-69},{'instanceId':'000000ae','rssi':-73}]","Oct 26, 2021 @ 11:07:34"
"1635260855135-00003afc","diract-proximity",,"_doc","['-0.937','0.313','-0.312']",78,1,"00003afc","[{'instanceId':'00000058','rssi':-59},{'instanceId':'000000ae','rssi':-68},{'instanceId':'00000059','rssi':-70}]","Oct 26, 2021 @ 11:07:34"
"1635260854319-0000a7c0","diract-proximity",,"_doc","['-0.875','-0.437','-0.312']",81,4,"0000a7c0","[{'instanceId':'00000058','rssi':-70},{'instanceId':'000000ae','rssi':-70},{'instanceId':'00000059','rssi':-73}]","Oct 26, 2021 @ 11:07:33"
"1635260852804-00003afc","diract-proximity",,"_doc","['-0.875','0.438','-0.187']",76,0,"00003afc","[{'instanceId':'00000061','rssi':-63},{'instanceId':'000000ae','rssi':-64},{'instanceId':'00000060','rssi':-67}]","Oct 26, 2021 @ 11:07:31"
"1635260851450-0000a7c0","diract-proximity",,"_doc","['-0.875','-0.437','-0.375']",81,3,"0000a7c0","[{'instanceId':'0000004d','rssi':-67},{'instanceId':'000000ae','rssi':-72},{'instanceId':'00000058','rssi':-74}]","Oct 26, 2021 @ 11:07:30"
"1635260851420-00003afc","diract-proximity",,"_doc","['-0.812','0.5','-0.312']",76,7,"00003afc","[{'instanceId':'00000058','rssi':-64},{'instanceId':'00000059','rssi':-64},{'instanceId':'00000061','rssi':-67}]","Oct 26, 2021 @ 11:07:30"
"1635260849235-0000a7c0","diract-proximity",,"_doc","['-0.875','-0.375','-0.5']",81,0,"0000a7c0","[{'instanceId':'00000058','rssi':-73}]","Oct 26, 2021 @ 11:07:28"
"1635260848985-00003afc","diract-proximity",,"_doc","['-0.875','0.438','-0.375']",76,5,"00003afc","[{'instanceId':'00000059','rssi':-63},{'instanceId':'00000058','rssi':-64},{'instanceId':'000000a9','rssi':-68}]","Oct 26, 2021 @ 11:07:27"
"1635260847760-00003afc","diract-proximity",,"_doc","['-0.875','0.438','-0.375']",76,5,"00003afc","[{'instanceId':'00000059','rssi':-63},{'instanceId':'00000058','rssi':-64},{'instanceId':'000000a9','rssi':-68}]","Oct 26, 2021 @ 11:07:26"
"1635260845714-00003afc","diract-proximity",,"_doc","['-0.875','0.438','-0.375']",76,4,"00003afc","[{'instanceId':'0000004d','rssi':-64},{'instanceId':'00000059','rssi':-65},{'instanceId':'00000058','rssi':-65}]","Oct 26, 2021 @ 11:07:24"
"1635260844488-0000a7c0","diract-proximity",,"_doc","['-1','-0.25','-0.312']",81,5,"0000a7c0","[{'instanceId':'0000004d','rssi':-67},{'instanceId':'00000058','rssi':-68},{'instanceId':'00000059','rssi':-70}]","Oct 26, 2021 @ 11:07:23"
"1635260843753-00003afc","diract-proximity",,"_doc","['-0.75','0.5','-0.375']",76,2,"00003afc","[{'instanceId':'0000004d','rssi':-61},{'instanceId':'00000059','rssi':-63},{'instanceId':'00000061','rssi':-67}]","Oct 26, 2021 @ 11:07:22"
"1635260841713-0000a7c0","diract-proximity",,"_doc","['-1','-0.25','0']",81,2,"0000a7c0","[{'instanceId':'0000004d','rssi':-69},{'instanceId':'00000061','rssi':-73},{'instanceId':'00000058','rssi':-74}]","Oct 26, 2021 @ 11:07:20"
"1635260840293-0000a7c0","diract-proximity",,"_doc","['-1','-0.25','0']",81,2,"0000a7c0","[{'instanceId':'0000004d','rssi':-69},{'instanceId':'00000061','rssi':-73},{'instanceId':'00000058','rssi':-74}]","Oct 26, 2021 @ 11:07:19"
