"Puck","distance_1","X1","Y1","distance_2","X2","Y2","distance_3","X3","Y3","timestamp"
"00003afc",2.8582938531128628,0.0,8.0,3.4347302851147945,4.0,4.0,3.4323033160592624,4.0,8.0,"Oct 25, 2021 @ 19:47:50"
"00003afc",2.8582938531128628,0.0,8.0,3.4347302851147945,4.0,4.0,3.4323033160592624,4.0,8.0,"Oct 25, 2021 @ 19:47:52"
"00003afc",1.6804130662971681,4.0,0.0,2.238433885393905,0.0,0.0,2.807127417136859,0.0,4.0,"Oct 25, 2021 @ 19:47:54"
"00003afc",1.6804130662971681,4.0,0.0,2.238433885393905,0.0,0.0,2.807127417136859,0.0,4.0,"Oct 25, 2021 @ 19:47:56"
"00003afc",1.6804130662971681,4.0,0.0,2.238433885393905,0.0,0.0,2.807127417136859,0.0,4.0,"Oct 25, 2021 @ 19:47:57"
"00003afc",2.8582938531128628,0.0,0.0,2.8520066884161923,4.0,0.0,3.4323033160592624,4.0,4.0,"Oct 25, 2021 @ 19:48:00"
"00003afc",2.8582938531128628,0.0,0.0,2.8520066884161923,4.0,0.0,3.4323033160592624,4.0,4.0,"Oct 25, 2021 @ 19:48:01"
"00003afc",2.806239280250737,0.0,0.0,3.436256510657859,4.0,4.0,3.4339185224700555,0.0,4.0,"Oct 25, 2021 @ 19:48:03"
"00003afc",3.429927404905544,0.0,8.0,3.436256510657859,4.0,4.0,3.4339185224700555,0.0,4.0,"Oct 25, 2021 @ 19:48:06"
"00003afc",1.6893022358482217,0.0,0.0,2.850147392661692,4.0,4.0,3.4339185224700555,0.0,4.0,"Oct 25, 2021 @ 19:48:07"
"00003afc",1.6893022358482217,0.0,0.0,2.850147392661692,4.0,4.0,3.4339185224700555,0.0,4.0,"Oct 25, 2021 @ 19:48:09"
"00003afc",2.806239280250737,0.0,0.0,3.4347302851147945,4.0,4.0,3.4339185224700555,0.0,4.0,"Oct 25, 2021 @ 19:48:10"
"00003afc",2.806239280250737,0.0,0.0,3.4347302851147945,4.0,4.0,3.4339185224700555,0.0,4.0,"Oct 25, 2021 @ 19:48:11"
"00003afc",2.806239280250737,0.0,0.0,3.4347302851147945,4.0,4.0,3.4339185224700555,0.0,4.0,"Oct 25, 2021 @ 19:48:13"
"00003afc",2.806239280250737,0.0,0.0,3.4347302851147945,4.0,4.0,3.4339185224700555,0.0,4.0,"Oct 25, 2021 @ 19:48:14"
"00003afc",3.4315558536539457,0.0,0.0,3.436256510657859,4.0,0.0,3.4339185224700555,4.0,4.0,"Oct 25, 2021 @ 19:48:17"
"00003afc",3.4315558536539457,0.0,0.0,3.436256510657859,4.0,0.0,3.4339185224700555,4.0,4.0,"Oct 25, 2021 @ 19:48:18"
"00003afc",2.8582938531128628,0.0,0.0,3.4347302851147945,4.0,4.0,3.4339185224700555,0.0,4.0,"Oct 25, 2021 @ 19:48:20"
"00003afc",2.8582938531128628,0.0,0.0,3.4347302851147945,4.0,4.0,3.4339185224700555,0.0,4.0,"Oct 25, 2021 @ 19:48:21"
"00003afc",2.8582938531128628,4.0,0.0,3.436256510657859,4.0,4.0,3.4339185224700555,0.0,4.0,"Oct 25, 2021 @ 19:48:23"
"00003afc",2.806239280250737,4.0,4.0,3.436256510657859,4.0,0.0,3.4339185224700555,0.0,4.0,"Oct 25, 2021 @ 19:48:27"
"00003afc",2.806239280250737,4.0,4.0,3.436256510657859,4.0,0.0,3.4339185224700555,0.0,4.0,"Oct 25, 2021 @ 19:48:28"
"00003afc",2.806239280250737,4.0,4.0,2.812644287638839,0.0,0.0,3.4323033160592624,4.0,0.0,"Oct 25, 2021 @ 19:48:31"
"00003afc",2.806239280250737,0.0,4.0,3.436256510657859,0.0,0.0,3.4339185224700555,4.0,4.0,"Oct 25, 2021 @ 19:48:33"
"00003afc",2.806239280250737,0.0,4.0,3.436256510657859,0.0,0.0,3.4339185224700555,4.0,4.0,"Oct 25, 2021 @ 19:48:36"
"00003afc",1.6893022358482217,4.0,8.0,2.238433885393905,4.0,4.0,2.849731508369353,0.0,4.0,"Oct 25, 2021 @ 19:48:37"
"00003afc",2.806239280250737,8.0,0.0,2.8520066884161923,4.0,4.0,3.4339185224700555,0.0,4.0,"Oct 25, 2021 @ 19:48:40"
"00003afc",2.806239280250737,8.0,0.0,2.8520066884161923,4.0,4.0,3.4339185224700555,0.0,4.0,"Oct 25, 2021 @ 19:48:41"
"00003afc",3.4315558536539457,8.0,4.0,3.436256510657859,4.0,8.0,3.4339185224700555,8.0,8.0,"Oct 25, 2021 @ 19:48:44"
"00003afc",1.6893022358482217,0.0,8.0,2.8520066884161923,4.0,8.0,3.4323033160592624,4.0,4.0,"Oct 25, 2021 @ 19:48:46"
"00003afc",3.429927404905544,4.0,4.0,3.436256510657859,0.0,8.0,3.4339185224700555,0.0,4.0,"Oct 25, 2021 @ 19:48:48"
"00003afc",2.806239280250737,0.0,8.0,2.850147392661692,0.0,4.0,3.4339185224700555,4.0,4.0,"Oct 25, 2021 @ 19:48:49"
"00003afc",1.6755910815196535,0.0,4.0,3.4347302851147945,0.0,0.0,3.4339185224700555,4.0,4.0,"Oct 25, 2021 @ 19:48:51"
"00003afc",1.6755910815196535,0.0,4.0,3.4347302851147945,0.0,0.0,3.4339185224700555,4.0,4.0,"Oct 25, 2021 @ 19:48:52"
"00003afc",2.856452647223879,8.0,0.0,3.4347302851147945,4.0,4.0,3.4323033160592624,4.0,0.0,"Oct 25, 2021 @ 19:48:54"
"00003afc",1.6755910815196535,4.0,0.0,1.6888312843156672,8.0,0.0,1.69175621621661,4.0,4.0,"Oct 25, 2021 @ 19:48:57"
"00003afc",1.6755910815196535,4.0,4.0,1.6796802997497686,4.0,0.0,1.69175621621661,0.0,4.0,"Oct 25, 2021 @ 19:48:58"
"00003afc",1.6755910815196535,4.0,4.0,2.850147392661692,0.0,8.0,3.4323033160592624,4.0,8.0,"Oct 25, 2021 @ 19:49:00"
