"_id","_index","_score","_type","acceleration","batteryPercentage","cyclicCount","instanceId","nearest","timestamp"
"1635381220069-0000a7c0","diract-proximity",,"_doc","['-1','0.063','0']",79,4,"0000a7c0","[{'instanceId':'0000004d','rssi':-65},{'instanceId':'00000059','rssi':-69},{'instanceId':'00000058','rssi':-72}]","Oct 27, 2021 @ 20:33:39"
"1635381218533-00003afc","diract-proximity",,"_doc","['-1.312','-0.375','-0.25']",75,3,"00003afc","[{'instanceId':'00000059','rssi':-65},{'instanceId':'0000004d','rssi':-67},{'instanceId':'00000058','rssi':-70}]","Oct 27, 2021 @ 20:33:37"
"1635381217677-0000a7c0","diract-proximity",,"_doc","['-1','-0.187','-0.25']",79,2,"0000a7c0","[{'instanceId':'0000004d','rssi':-69},{'instanceId':'00000058','rssi':-74},{'instanceId':'000000ae','rssi':-74}]","Oct 27, 2021 @ 20:33:36"
"1635381216148-00003afc","diract-proximity",,"_doc","['-0.875','-0.312','-0.5']",75,0,"00003afc","[{'instanceId':'0000004d','rssi':-69},{'instanceId':'00000058','rssi':-71},{'instanceId':'00000061','rssi':-75}]","Oct 27, 2021 @ 20:33:35"
"1635381214884-0000a7c0","diract-proximity",,"_doc","['-1','-0.187','-0.25']",79,1,"0000a7c0","[{'instanceId':'0000004d','rssi':-69},{'instanceId':'000000ae','rssi':-73},{'instanceId':'00000058','rssi':-74}]","Oct 27, 2021 @ 20:33:33"
"1635381213492-0000a7c0","diract-proximity",,"_doc","['-1','-0.187','-0.25']",79,7,"0000a7c0","[{'instanceId':'00000058','rssi':-72},{'instanceId':'0000004d','rssi':-73}]","Oct 27, 2021 @ 20:33:32"
"1635381212477-00003afc","diract-proximity",,"_doc","['-0.812','-0.187','-0.562']",75,6,"00003afc","[{'instanceId':'0000004d','rssi':-63},{'instanceId':'00000061','rssi':-67},{'instanceId':'00000059','rssi':-68}]","Oct 27, 2021 @ 20:33:31"
"1635381212267-0000a7c0","diract-proximity",,"_doc","['-1.125','-0.125','-0.25']",79,6,"0000a7c0","[{'instanceId':'0000004d','rssi':-67},{'instanceId':'00000059','rssi':-70},{'instanceId':'000000ae','rssi':-75}]","Oct 27, 2021 @ 20:33:31"
"1635381210841-0000a7c0","diract-proximity",,"_doc","['-0.75','0.125','-0.125']",79,5,"0000a7c0","[{'instanceId':'0000004d','rssi':-61},{'instanceId':'000000a9','rssi':-72},{'instanceId':'00000059','rssi':-75}]","Oct 27, 2021 @ 20:33:29"
"1635381209630-00003afc","diract-proximity",,"_doc","['-0.937','-0.125','-0.5']",75,5,"00003afc","[{'instanceId':'000000ae','rssi':-70},{'instanceId':'000000a9','rssi':-72},{'instanceId':'0000004d','rssi':-73}]","Oct 27, 2021 @ 20:33:28"
"1635381209409-0000a7c0","diract-proximity",,"_doc","['-0.75','0.125','-0.125']",79,5,"0000a7c0","[{'instanceId':'0000004d','rssi':-61},{'instanceId':'000000a9','rssi':-72},{'instanceId':'00000059','rssi':-75}]","Oct 27, 2021 @ 20:33:28"
"1635381207913-0000a7c0","diract-proximity",,"_doc","['-1','0.063','0.063']",79,3,"0000a7c0","[{'instanceId':'00000058','rssi':-66},{'instanceId':'00000059','rssi':-71},{'instanceId':'00000060','rssi':-73}]","Oct 27, 2021 @ 20:33:26"
"1635381207702-00003afc","diract-proximity",,"_doc","['-0.937','-0.125','-0.5']",75,5,"00003afc","[{'instanceId':'000000ae','rssi':-70},{'instanceId':'000000a9','rssi':-72},{'instanceId':'0000004d','rssi':-73}]","Oct 27, 2021 @ 20:33:26"
"1635381205894-00003afc","diract-proximity",,"_doc","['-1','-0.062','-0.25']",75,3,"00003afc","[{'instanceId':'00000059','rssi':-70},{'instanceId':'00000058','rssi':-72},{'instanceId':'00000061','rssi':-72}]","Oct 27, 2021 @ 20:33:24"
"1635381205108-0000a7c0","diract-proximity",,"_doc","['-1','0.188','0.063']",79,1,"0000a7c0","[{'instanceId':'00000058','rssi':-65},{'instanceId':'00000059','rssi':-70},{'instanceId':'000000ae','rssi':-72}]","Oct 27, 2021 @ 20:33:24"
"1635381203877-0000a7c0","diract-proximity",,"_doc","['-1','0.188','0.063']",79,1,"0000a7c0","[{'instanceId':'00000058','rssi':-65},{'instanceId':'00000059','rssi':-70},{'instanceId':'000000ae','rssi':-72}]","Oct 27, 2021 @ 20:33:22"
"1635381203499-00003afc","diract-proximity",,"_doc","['-1','0','-0.25']",75,0,"00003afc","[{'instanceId':'00000059','rssi':-64},{'instanceId':'00000058','rssi':-73},{'instanceId':'000000ae','rssi':-73}]","Oct 27, 2021 @ 20:33:22"
"1635381202443-0000a7c0","diract-proximity",,"_doc","['-1','0.25','0.063']",79,0,"0000a7c0","[{'instanceId':'00000058','rssi':-65},{'instanceId':'000000ae','rssi':-70},{'instanceId':'0000004d','rssi':-72}]","Oct 27, 2021 @ 20:33:21"
"1635381201835-00003afc","diract-proximity",,"_doc","['-1','0','-0.25']",75,0,"00003afc","[{'instanceId':'00000059','rssi':-64},{'instanceId':'00000058','rssi':-73},{'instanceId':'000000ae','rssi':-73}]","Oct 27, 2021 @ 20:33:20"
"1635381200190-00003afc","diract-proximity",,"_doc","['-1','-0.125','-0.187']",75,6,"00003afc","[{'instanceId':'00000059','rssi':-66},{'instanceId':'000000ae','rssi':-68},{'instanceId':'000000a9','rssi':-69}]","Oct 27, 2021 @ 20:33:19"
"1635381199781-0000a7c0","diract-proximity",,"_doc","['-1','0.063','0']",79,5,"0000a7c0","[{'instanceId':'00000058','rssi':-65},{'instanceId':'0000004d','rssi':-66},{'instanceId':'000000ae','rssi':-68}]","Oct 27, 2021 @ 20:33:18"
"1635381197298-00003afc","diract-proximity",,"_doc","['-1.062','-0.187','-0.187']",75,4,"00003afc","[{'instanceId':'000000ae','rssi':-67},{'instanceId':'00000061','rssi':-67},{'instanceId':'00000059','rssi':-68}]","Oct 27, 2021 @ 20:33:16"
"1635381196705-0000a7c0","diract-proximity",,"_doc","['-1','0.125','-0.062']",79,4,"0000a7c0","[{'instanceId':'00000058','rssi':-66},{'instanceId':'00000061','rssi':-66},{'instanceId':'0000004e','rssi':-70}]","Oct 27, 2021 @ 20:33:15"
"1635381195504-0000a7c0","diract-proximity",,"_doc","['-1','0.125','-0.062']",79,4,"0000a7c0","[{'instanceId':'00000058','rssi':-66},{'instanceId':'00000061','rssi':-66},{'instanceId':'0000004e','rssi':-70}]","Oct 27, 2021 @ 20:33:14"
"1635381195078-00003afc","diract-proximity",,"_doc","['-1.062','-0.187','-0.187']",75,4,"00003afc","[{'instanceId':'000000ae','rssi':-67},{'instanceId':'00000061','rssi':-67},{'instanceId':'00000059','rssi':-68}]","Oct 27, 2021 @ 20:33:14"
"1635381194250-0000a7c0","diract-proximity",,"_doc","['-1','-0.187','-0.062']",79,2,"0000a7c0","[{'instanceId':'00000061','rssi':-62},{'instanceId':'00000060','rssi':-67},{'instanceId':'00000058','rssi':-69}]","Oct 27, 2021 @ 20:33:13"
"1635381193678-00003afc","diract-proximity",,"_doc","['-1.062','-0.187','-0.187']",75,4,"00003afc","[{'instanceId':'000000ae','rssi':-67},{'instanceId':'00000061','rssi':-67},{'instanceId':'00000059','rssi':-68}]","Oct 27, 2021 @ 20:33:12"
"1635381191383-0000a7c0","diract-proximity",,"_doc","['-1','-0.187','0']",79,7,"0000a7c0","[{'instanceId':'00000061','rssi':-62},{'instanceId':'00000058','rssi':-68},{'instanceId':'000000af','rssi':-70}]","Oct 27, 2021 @ 20:33:10"
"1635381189540-00003afc","diract-proximity",,"_doc","['-1','-0.125','-0.187']",75,6,"00003afc","[{'instanceId':'000000ae','rssi':-68},{'instanceId':'0000004d','rssi':-69},{'instanceId':'00000060','rssi':-70}]","Oct 27, 2021 @ 20:33:08"
"1635381188260-0000a7c0","diract-proximity",,"_doc","['-1','0.125','0']",79,5,"0000a7c0","[{'instanceId':'00000061','rssi':-62},{'instanceId':'0000004d','rssi':-72},{'instanceId':'000000af','rssi':-73}]","Oct 27, 2021 @ 20:33:07"
"1635381188052-00003afc","diract-proximity",,"_doc","['-1','-0.125','-0.25']",75,5,"00003afc","[{'instanceId':'00000061','rssi':-67},{'instanceId':'00000058','rssi':-67},{'instanceId':'000000ae','rssi':-68}]","Oct 27, 2021 @ 20:33:07"
"1635381186060-0000a7c0","diract-proximity",,"_doc","['-1','0.125','0']",79,5,"0000a7c0","[{'instanceId':'00000061','rssi':-62},{'instanceId':'0000004d','rssi':-72},{'instanceId':'000000af','rssi':-73}]","Oct 27, 2021 @ 20:33:05"
