"Puck","distance_1","X1","Y1","distance_2","X2","Y2","distance_3","X3","Y3","timestamp"
"00003afc",3.429927404905544,0.0,4.0,3.436256510657859,0.0,0.0,3.4339185224700555,4.0,0.0,"Oct 15, 2021 @ 19:27:11"
"00003afc",3.429927404905544,0.0,4.0,3.436256510657859,0.0,0.0,3.4339185224700555,4.0,0.0,"Oct 15, 2021 @ 19:27:12"
"00003afc",3.429927404905544,0.0,4.0,3.436256510657859,0.0,0.0,3.4339185224700555,4.0,0.0,"Oct 15, 2021 @ 19:27:15"
"00003afc",3.429927404905544,0.0,4.0,3.436256510657859,0.0,0.0,3.4339185224700555,4.0,0.0,"Oct 15, 2021 @ 19:27:16"
"00003afc",3.429927404905544,0.0,4.0,3.436256510657859,0.0,0.0,3.4339185224700555,4.0,0.0,"Oct 15, 2021 @ 19:27:17"
"00003afc",3.4315558536539457,0.0,0.0,3.436256510657859,4.0,0.0,3.4339185224700555,0.0,4.0,"Oct 15, 2021 @ 19:27:19"
"00003afc",1.6893022358482217,0.0,4.0,2.8520066884161923,4.0,0.0,2.849731508369353,4.0,4.0,"Oct 15, 2021 @ 19:27:20"
"00003afc",2.8582938531128628,4.0,0.0,3.4347302851147945,8.0,0.0,3.4339185224700555,4.0,4.0,"Oct 15, 2021 @ 19:27:22"
"00003afc",2.2506400450122035,4.0,4.0,2.812644287638839,0.0,8.0,2.807127417136859,4.0,8.0,"Oct 15, 2021 @ 19:27:25"
"00003afc",2.2506400450122035,4.0,4.0,2.812644287638839,0.0,8.0,2.807127417136859,4.0,8.0,"Oct 15, 2021 @ 19:27:26"
"00003afc",2.2506400450122035,4.0,4.0,2.8520066884161923,0.0,4.0,2.849731508369353,4.0,0.0,"Oct 15, 2021 @ 19:27:27"
"00003afc",2.2506400450122035,4.0,4.0,3.436256510657859,4.0,8.0,3.4339185224700555,0.0,4.0,"Oct 15, 2021 @ 19:27:30"
"00003afc",2.806239280250737,4.0,4.0,2.8520066884161923,0.0,0.0,3.4323033160592624,4.0,0.0,"Oct 15, 2021 @ 19:27:32"
"00003afc",1.6893022358482217,4.0,4.0,2.238433885393905,0.0,0.0,2.807127417136859,0.0,4.0,"Oct 15, 2021 @ 19:27:36"
"00003afc",1.6893022358482217,0.0,0.0,2.238433885393905,4.0,4.0,3.4323033160592624,0.0,4.0,"Oct 15, 2021 @ 19:27:37"
