"_id","_index","_score","_type","acceleration","batteryPercentage","cyclicCount","instanceId","nearest","timestamp"
"1634495540318-0000a7c0","diract-proximity",,"_doc","['-0.5','-0.875','-0.437']",79,5,"0000a7c0","[{'instanceId':'00000059','rssi':-72},{'instanceId':'00000058','rssi':-73},{'instanceId':'0000004d','rssi':-73}]","Oct 17, 2021 @ 14:32:19"
"1634495539911-00003afc","diract-proximity",,"_doc","['0.188','0.938','-0.25']",75,3,"00003afc","[{'instanceId':'000000ae','rssi':-62},{'instanceId':'0000004d','rssi':-64},{'instanceId':'000000af','rssi':-66}]","Oct 17, 2021 @ 14:32:18"
"1634495538948-0000a7c0","diract-proximity",,"_doc","['-0.5','-0.875','-0.375']",79,2,"0000a7c0","[{'instanceId':'00000059','rssi':-69},{'instanceId':'000000ae','rssi':-72}]","Oct 17, 2021 @ 14:32:17"
"1634495537792-00003afc","diract-proximity",,"_doc","['0.25','0.938','-0.25']",75,2,"00003afc","[{'instanceId':'0000004d','rssi':-63},{'instanceId':'00000061','rssi':-65},{'instanceId':'000000ae','rssi':-66}]","Oct 17, 2021 @ 14:32:16"
"1634495536150-00003afc","diract-proximity",,"_doc","['0.25','0.938','-0.25']",75,1,"00003afc","[{'instanceId':'0000004d','rssi':-63},{'instanceId':'000000ae','rssi':-64},{'instanceId':'00000058','rssi':-65}]","Oct 17, 2021 @ 14:32:15"
"1634495535555-0000a7c0","diract-proximity",,"_doc","['-0.5','-0.875','-0.375']",79,0,"0000a7c0","[{'instanceId':'000000ae','rssi':-72},{'instanceId':'00000059','rssi':-73}]","Oct 17, 2021 @ 14:32:14"
"1634495534306-0000a7c0","diract-proximity",,"_doc","['-0.5','-0.875','-0.375']",79,7,"0000a7c0","[{'instanceId':'00000059','rssi':-68},{'instanceId':'00000058','rssi':-73},{'instanceId':'0000004d','rssi':-73}]","Oct 17, 2021 @ 14:32:13"
"1634495534266-00003afc","diract-proximity",,"_doc","['0.188','0.938','-0.25']",73,7,"00003afc","[{'instanceId':'0000004d','rssi':-64},{'instanceId':'000000ae','rssi':-64},{'instanceId':'000000af','rssi':-66}]","Oct 17, 2021 @ 14:32:13"
"1634495532876-0000a7c0","diract-proximity",,"_doc","['-0.5','-0.875','-0.312']",79,5,"0000a7c0","[{'instanceId':'0000004d','rssi':-73},{'instanceId':'00000059','rssi':-73}]","Oct 17, 2021 @ 14:32:11"
"1634495531449-00003afc","diract-proximity",,"_doc","['0.313','1','-0.187']",73,5,"00003afc","[{'instanceId':'000000ae','rssi':-63},{'instanceId':'000000af','rssi':-65},{'instanceId':'00000061','rssi':-66}]","Oct 17, 2021 @ 14:32:10"
"1634495531383-0000a7c0","diract-proximity",,"_doc","['-0.5','-0.875','-0.312']",79,5,"0000a7c0","[{'instanceId':'0000004d','rssi':-73},{'instanceId':'00000059','rssi':-73}]","Oct 17, 2021 @ 14:32:10"
"1634495529008-0000a7c0","diract-proximity",,"_doc","['-0.5','-0.937','0.188']",79,2,"0000a7c0","[{'instanceId':'00000059','rssi':-67},{'instanceId':'000000a9','rssi':-70},{'instanceId':'0000004d','rssi':-70}]","Oct 17, 2021 @ 14:32:08"
"1634495528366-00003afc","diract-proximity",,"_doc","['0.375','0.938','0']",73,3,"00003afc","[{'instanceId':'00000061','rssi':-67},{'instanceId':'0000004e','rssi':-67},{'instanceId':'00000060','rssi':-69}]","Oct 17, 2021 @ 14:32:07"
"1634495526523-0000a7c0","diract-proximity",,"_doc","['-0.5','-0.875','0.25']",79,1,"0000a7c0","[{'instanceId':'0000004d','rssi':-63},{'instanceId':'00000059','rssi':-65},{'instanceId':'000000a9','rssi':-69}]","Oct 17, 2021 @ 14:32:05"
"1634495525501-00003afc","diract-proximity",,"_doc","['0.313','0.938','-0.062']",73,1,"00003afc","[{'instanceId':'00000058','rssi':-64},{'instanceId':'0000004d','rssi':-65},{'instanceId':'000000ae','rssi':-66}]","Oct 17, 2021 @ 14:32:04"
"1634495524435-0000a7c0","diract-proximity",,"_doc","['-0.5','-0.875','0.25']",79,7,"0000a7c0","[{'instanceId':'0000004d','rssi':-63},{'instanceId':'00000059','rssi':-65},{'instanceId':'00000061','rssi':-70}]","Oct 17, 2021 @ 14:32:03"
"1634495521186-00003afc","diract-proximity",,"_doc","['0.313','0.938','-0.062']",73,7,"00003afc","[{'instanceId':'0000004d','rssi':-63},{'instanceId':'00000058','rssi':-65},{'instanceId':'0000004e','rssi':-66}]","Oct 17, 2021 @ 14:32:00"
"1634495520631-0000a7c0","diract-proximity",,"_doc","['-0.5','-0.937','0.25']",79,6,"0000a7c0","[{'instanceId':'00000059','rssi':-64},{'instanceId':'0000004d','rssi':-66},{'instanceId':'00000058','rssi':-69}]","Oct 17, 2021 @ 14:31:59"
"1634495518374-00003afc","diract-proximity",,"_doc","['0.313','0.938','0']",73,5,"00003afc","[{'instanceId':'00000061','rssi':-63},{'instanceId':'0000004d','rssi':-65},{'instanceId':'0000004e','rssi':-66}]","Oct 17, 2021 @ 14:31:57"
"1634495518015-0000a7c0","diract-proximity",,"_doc","['-0.5','-0.875','0.25']",79,4,"0000a7c0","[{'instanceId':'00000059','rssi':-66},{'instanceId':'0000004d','rssi':-68},{'instanceId':'000000ae','rssi':-69}]","Oct 17, 2021 @ 14:31:57"
