"Puck","distance_1","X1","Y1","distance_2","X2","Y2","distance_3","X3","Y3","timestamp"
"00003afc",2.2506400450122035,4.0,0.0,2.8520066884161923,0.0,0.0,2.849731508369353,4.0,4.0,"Oct 17, 2021 @ 11:39:31"
"00003afc",2.2506400450122035,4.0,0.0,2.8520066884161923,0.0,0.0,2.849731508369353,4.0,4.0,"Oct 17, 2021 @ 11:39:34"
"00003afc",1.6893022358482217,4.0,8.0,2.238433885393905,0.0,4.0,2.849731508369353,0.0,8.0,"Oct 17, 2021 @ 11:39:37"
"00003afc",2.2506400450122035,4.0,4.0,2.812644287638839,4.0,0.0,2.849731508369353,0.0,8.0,"Oct 17, 2021 @ 11:39:39"
"00003afc",2.2506400450122035,4.0,4.0,2.812644287638839,4.0,0.0,2.849731508369353,0.0,8.0,"Oct 17, 2021 @ 11:39:40"
"00003afc",1.6893022358482217,4.0,4.0,2.812644287638839,4.0,8.0,2.849731508369353,0.0,4.0,"Oct 17, 2021 @ 11:39:42"
"00003afc",1.6893022358482217,4.0,0.0,2.238433885393905,0.0,4.0,2.2456499864474355,4.0,4.0,"Oct 17, 2021 @ 11:39:43"
"00003afc",2.2506400450122035,4.0,4.0,2.238433885393905,4.0,8.0,2.2456499864474355,0.0,4.0,"Oct 17, 2021 @ 11:39:45"
"00003afc",2.2506400450122035,4.0,4.0,2.238433885393905,4.0,8.0,2.2456499864474355,0.0,4.0,"Oct 17, 2021 @ 11:39:46"
"00003afc",2.806239280250737,4.0,4.0,2.812644287638839,4.0,8.0,2.849731508369353,0.0,4.0,"Oct 17, 2021 @ 11:39:50"
"00003afc",2.806239280250737,0.0,4.0,2.812644287638839,0.0,0.0,2.849731508369353,4.0,4.0,"Oct 17, 2021 @ 11:39:53"
"00003afc",2.806239280250737,0.0,4.0,2.812644287638839,0.0,0.0,2.849731508369353,4.0,4.0,"Oct 17, 2021 @ 11:39:56"
"00003afc",2.2506400450122035,4.0,4.0,2.238433885393905,4.0,0.0,2.2456499864474355,8.0,0.0,"Oct 17, 2021 @ 11:40:00"
"00003afc",2.2506400450122035,4.0,4.0,3.4347302851147945,0.0,8.0,3.4323033160592624,4.0,8.0,"Oct 17, 2021 @ 11:40:02"
"00003afc",2.2506400450122035,4.0,4.0,3.4347302851147945,0.0,8.0,3.4323033160592624,4.0,8.0,"Oct 17, 2021 @ 11:40:03"
"00003afc",0.5536175848757631,8.0,0.0,2.238433885393905,4.0,0.0,2.849731508369353,4.0,4.0,"Oct 17, 2021 @ 11:40:05"
"00003afc",0.5536175848757631,8.0,0.0,2.238433885393905,4.0,0.0,2.849731508369353,4.0,4.0,"Oct 17, 2021 @ 11:40:07"
"00003afc",0.5536175848757631,8.0,0.0,2.238433885393905,4.0,0.0,2.849731508369353,4.0,4.0,"Oct 17, 2021 @ 11:40:09"
"00003afc",0.5536175848757631,8.0,0.0,2.238433885393905,4.0,0.0,2.849731508369353,4.0,4.0,"Oct 17, 2021 @ 11:40:11"
"00003afc",1.6804130662971681,8.0,0.0,2.238433885393905,4.0,0.0,3.4323033160592624,4.0,4.0,"Oct 17, 2021 @ 11:40:13"
"00003afc",1.6893022358482217,4.0,4.0,2.238433885393905,8.0,0.0,2.849731508369353,8.0,4.0,"Oct 17, 2021 @ 11:40:15"
"00003afc",1.6893022358482217,4.0,4.0,2.238433885393905,8.0,0.0,2.849731508369353,8.0,4.0,"Oct 17, 2021 @ 11:40:19"
"00003afc",2.856452647223879,4.0,4.0,2.8520066884161923,8.0,0.0,2.849731508369353,4.0,0.0,"Oct 17, 2021 @ 11:40:20"
"00003afc",2.856452647223879,4.0,4.0,2.8520066884161923,8.0,0.0,2.849731508369353,4.0,0.0,"Oct 17, 2021 @ 11:40:22"
"00003afc",1.6804130662971681,0.0,8.0,2.238433885393905,4.0,4.0,2.807127417136859,4.0,0.0,"Oct 17, 2021 @ 11:40:25"
"00003afc",1.6804130662971681,8.0,0.0,2.238433885393905,4.0,4.0,3.4323033160592624,8.0,4.0,"Oct 17, 2021 @ 11:40:26"
"00003afc",1.6804130662971681,8.0,0.0,2.238433885393905,4.0,4.0,3.4323033160592624,8.0,4.0,"Oct 17, 2021 @ 11:40:27"
"00003afc",1.6804130662971681,8.0,0.0,2.238433885393905,4.0,4.0,3.4323033160592624,8.0,4.0,"Oct 17, 2021 @ 11:40:28"
