"_id","_index","_score","_type","acceleration","batteryPercentage","cyclicCount","instanceId","nearest","timestamp"
"1635434287025-0000a7c0","diract-proximity",,"_doc","['-0.062','-0.062','1']",81,7,"0000a7c0","[{'instanceId':'0000004d','rssi':-63},{'instanceId':'00000059','rssi':-70},{'instanceId':'00000061','rssi':-71}]","Oct 28, 2021 @ 11:18:06"
"1635434247841-0000a7c0","diract-proximity",,"_doc","['-0.75','0.125','-0.687']",81,2,"0000a7c0","[{'instanceId':'0000004d','rssi':-66},{'instanceId':'000000ae','rssi':-73},{'instanceId':'00000059','rssi':-73}]","Oct 28, 2021 @ 11:17:26"
"1635434246265-00003afc","diract-proximity",,"_doc","['-0.937','-0.375','-0.312']",79,5,"00003afc","[{'instanceId':'00000059','rssi':-72},{'instanceId':'00000058','rssi':-73},{'instanceId':'00000061','rssi':-73}]","Oct 28, 2021 @ 11:17:25"
"1635434245248-0000a7c0","diract-proximity",,"_doc","['-0.875','0.125','-0.687']",81,7,"0000a7c0","[{'instanceId':'00000059','rssi':-71},{'instanceId':'000000ae','rssi':-72},{'instanceId':'0000004d','rssi':-74}]","Oct 28, 2021 @ 11:17:24"
"1635434244184-00003afc","diract-proximity",,"_doc","['-0.937','-0.375','-0.312']",79,5,"00003afc","[{'instanceId':'00000059','rssi':-72},{'instanceId':'00000058','rssi':-73},{'instanceId':'00000061','rssi':-73}]","Oct 28, 2021 @ 11:17:23"
"1635434242452-0000a7c0","diract-proximity",,"_doc","['-1','0.063','-0.25']",81,6,"0000a7c0","[{'instanceId':'00000060','rssi':-72},{'instanceId':'0000004d','rssi':-72},{'instanceId':'000000ae','rssi':-74}]","Oct 28, 2021 @ 11:17:21"
"1635434242372-00003afc","diract-proximity",,"_doc","['-0.937','-0.312','-0.187']",79,4,"00003afc","[{'instanceId':'00000061','rssi':-65},{'instanceId':'00000059','rssi':-67},{'instanceId':'00000058','rssi':-71}]","Oct 28, 2021 @ 11:17:21"
"1635434240911-0000a7c0","diract-proximity",,"_doc","['-1','0.063','-0.25']",81,6,"0000a7c0","[{'instanceId':'00000060','rssi':-72},{'instanceId':'0000004d','rssi':-72},{'instanceId':'000000ae','rssi':-74}]","Oct 28, 2021 @ 11:17:19"
"1635434240577-00003afc","diract-proximity",,"_doc","['-0.937','-0.312','-0.187']",79,4,"00003afc","[{'instanceId':'00000061','rssi':-65},{'instanceId':'00000059','rssi':-67},{'instanceId':'00000058','rssi':-71}]","Oct 28, 2021 @ 11:17:19"
"1635434239474-0000a7c0","diract-proximity",,"_doc","['-1','0.125','-0.125']",81,4,"0000a7c0","[{'instanceId':'0000004d','rssi':-68},{'instanceId':'000000ae','rssi':-74}]","Oct 28, 2021 @ 11:17:18"
"1635434238264-0000a7c0","diract-proximity",,"_doc","['-0.937','0.313','-0.187']",81,3,"0000a7c0","[{'instanceId':'00000058','rssi':-67},{'instanceId':'0000004d','rssi':-71},{'instanceId':'00000061','rssi':-71}]","Oct 28, 2021 @ 11:17:17"
"1635434236841-0000a7c0","diract-proximity",,"_doc","['-0.937','0.313','-0.187']",81,3,"0000a7c0","[{'instanceId':'00000058','rssi':-67},{'instanceId':'0000004d','rssi':-71},{'instanceId':'00000061','rssi':-71}]","Oct 28, 2021 @ 11:17:15"
