"Puck","distance_1","X1","Y1","distance_2","X2","Y2","distance_3","X3","Y3","timestamp"
"00003afc",2.2506400450122035,4.0,8.0,2.8520066884161923,0.0,4.0,2.849731508369353,4.0,4.0,"Oct 24, 2021 @ 18:06:26"
"00003afc",2.2506400450122035,4.0,8.0,2.8520066884161923,0.0,4.0,2.849731508369353,4.0,4.0,"Oct 24, 2021 @ 18:06:28"
"00003afc",2.2506400450122035,4.0,8.0,2.8520066884161923,0.0,4.0,2.849731508369353,4.0,4.0,"Oct 24, 2021 @ 18:06:33"
"00003afc",2.2506400450122035,4.0,8.0,2.8520066884161923,0.0,4.0,2.849731508369353,4.0,4.0,"Oct 24, 2021 @ 18:06:37"
"00003afc",2.2506400450122035,4.0,8.0,2.8520066884161923,0.0,4.0,2.849731508369353,4.0,4.0,"Oct 24, 2021 @ 18:06:38"
"00003afc",1.6893022358482217,0.0,4.0,2.8520066884161923,4.0,0.0,3.4323033160592624,4.0,4.0,"Oct 24, 2021 @ 18:06:41"
"00003afc",0.9354272927547019,0.0,0.0,1.6888312843156672,4.0,4.0,3.4323033160592624,0.0,4.0,"Oct 24, 2021 @ 18:06:48"
"00003afc",0.9354272927547019,0.0,0.0,1.6888312843156672,4.0,4.0,3.4323033160592624,0.0,4.0,"Oct 24, 2021 @ 18:06:57"
"00003afc",0.9354272927547019,0.0,0.0,1.6888312843156672,4.0,4.0,3.4323033160592624,0.0,4.0,"Oct 24, 2021 @ 18:06:59"
"00003afc",0.9354272927547019,0.0,0.0,1.6888312843156672,4.0,4.0,3.4323033160592624,0.0,4.0,"Oct 24, 2021 @ 18:07:01"
"00003afc",0.9354272927547019,0.0,0.0,1.6888312843156672,4.0,4.0,3.4323033160592624,0.0,4.0,"Oct 24, 2021 @ 18:07:09"
"00003afc",1.6893022358482217,0.0,0.0,2.238433885393905,4.0,0.0,3.4323033160592624,4.0,4.0,"Oct 24, 2021 @ 18:07:15"
"00003afc",1.6893022358482217,0.0,0.0,2.238433885393905,4.0,0.0,3.4323033160592624,4.0,4.0,"Oct 24, 2021 @ 18:07:19"
"00003afc",1.6893022358482217,0.0,0.0,2.238433885393905,4.0,0.0,3.4323033160592624,4.0,4.0,"Oct 24, 2021 @ 18:07:20"
"00003afc",2.806239280250737,8.0,4.0,2.8520066884161923,8.0,0.0,2.849731508369353,4.0,4.0,"Oct 24, 2021 @ 18:07:25"
"00003afc",2.806239280250737,8.0,4.0,2.8520066884161923,8.0,0.0,2.849731508369353,4.0,4.0,"Oct 24, 2021 @ 18:07:26"
"00003afc",1.4776711609442952,8.0,0.0,2.812644287638839,4.0,0.0,2.849731508369353,4.0,4.0,"Oct 24, 2021 @ 18:07:30"
"00003afc",0.9354272927547019,8.0,0.0,2.812644287638839,8.0,4.0,2.849731508369353,4.0,0.0,"Oct 24, 2021 @ 18:07:31"
"00003afc",0.9354272927547019,8.0,0.0,2.812644287638839,8.0,4.0,2.849731508369353,4.0,0.0,"Oct 24, 2021 @ 18:07:36"
"00003afc",1.6893022358482217,8.0,0.0,2.850147392661692,4.0,0.0,3.4339185224700555,4.0,4.0,"Oct 24, 2021 @ 18:07:51"
"00003afc",1.6893022358482217,8.0,0.0,2.850147392661692,4.0,0.0,3.4339185224700555,4.0,4.0,"Oct 24, 2021 @ 18:07:52"
"00003afc",1.6893022358482217,8.0,0.0,2.850147392661692,4.0,0.0,3.4339185224700555,4.0,4.0,"Oct 24, 2021 @ 18:07:55"
"00003afc",1.6893022358482217,8.0,0.0,2.850147392661692,4.0,0.0,3.4339185224700555,4.0,4.0,"Oct 24, 2021 @ 18:07:56"
"00003afc",1.6893022358482217,4.0,0.0,1.6888312843156672,4.0,4.0,2.2456499864474355,0.0,4.0,"Oct 24, 2021 @ 18:07:59"
"00003afc",1.6755910815196535,4.0,0.0,2.8520066884161923,0.0,0.0,3.4339185224700555,4.0,4.0,"Oct 24, 2021 @ 18:08:01"
"00003afc",2.856452647223879,0.0,4.0,2.850147392661692,4.0,0.0,2.849731508369353,4.0,4.0,"Oct 24, 2021 @ 18:08:10"
"00003afc",2.856452647223879,0.0,4.0,2.850147392661692,4.0,0.0,2.849731508369353,4.0,4.0,"Oct 24, 2021 @ 18:08:14"
"00003afc",1.6804130662971681,0.0,0.0,2.812644287638839,0.0,4.0,2.849731508369353,4.0,4.0,"Oct 24, 2021 @ 18:08:17"
"00003afc",1.6804130662971681,0.0,0.0,2.812644287638839,0.0,4.0,2.849731508369353,4.0,4.0,"Oct 24, 2021 @ 18:08:18"
"00003afc",2.8582938531128628,4.0,4.0,3.4347302851147945,8.0,0.0,3.4323033160592624,4.0,0.0,"Oct 24, 2021 @ 18:08:25"
"00003afc",2.8582938531128628,4.0,4.0,3.4347302851147945,8.0,0.0,3.4323033160592624,4.0,0.0,"Oct 24, 2021 @ 18:08:27"
"00003afc",2.8582938531128628,4.0,4.0,3.4347302851147945,8.0,0.0,3.4323033160592624,4.0,0.0,"Oct 24, 2021 @ 18:08:28"
"00003afc",2.2506400450122035,0.0,0.0,2.812644287638839,4.0,0.0,2.849731508369353,4.0,4.0,"Oct 24, 2021 @ 18:08:30"
"00003afc",1.6893022358482217,4.0,4.0,2.812644287638839,0.0,0.0,3.4323033160592624,4.0,0.0,"Oct 24, 2021 @ 18:08:37"
"00003afc",1.6893022358482217,4.0,4.0,2.812644287638839,0.0,0.0,3.4323033160592624,4.0,0.0,"Oct 24, 2021 @ 18:08:38"
"00003afc",2.856452647223879,4.0,4.0,2.8520066884161923,4.0,8.0,3.4323033160592624,0.0,4.0,"Oct 24, 2021 @ 18:08:42"
"00003afc",2.856452647223879,4.0,4.0,2.8520066884161923,4.0,8.0,3.4323033160592624,0.0,4.0,"Oct 24, 2021 @ 18:08:46"
"00003afc",2.856452647223879,4.0,4.0,2.8520066884161923,4.0,8.0,3.4323033160592624,0.0,4.0,"Oct 24, 2021 @ 18:08:48"
"00003afc",2.856452647223879,4.0,4.0,2.8520066884161923,4.0,8.0,3.4323033160592624,0.0,4.0,"Oct 24, 2021 @ 18:08:49"
