"Puck","distance_1","X1","Y1","distance_2","X2","Y2","distance_3","X3","Y3","timestamp"
"00003afc",1.6755910815196535,4.0,8.0,1.6844698281567299,4.0,4.0,2.849731508369353,0.0,0.0,"Oct 23, 2021 @ 09:38:26"
"00003afc",1.6893022358482217,4.0,8.0,2.238433885393905,4.0,4.0,2.849731508369353,0.0,0.0,"Oct 23, 2021 @ 09:38:27"
"00003afc",1.6893022358482217,4.0,8.0,2.238433885393905,4.0,4.0,2.849731508369353,0.0,0.0,"Oct 23, 2021 @ 09:38:28"
"00003afc",0.9354272927547019,4.0,4.0,1.6888312843156672,4.0,0.0,2.807127417136859,0.0,4.0,"Oct 23, 2021 @ 09:38:30"
"00003afc",0.9354272927547019,4.0,4.0,1.6888312843156672,4.0,0.0,2.807127417136859,0.0,4.0,"Oct 23, 2021 @ 09:38:31"
"00003afc",0.9354272927547019,4.0,4.0,1.6888312843156672,4.0,0.0,2.807127417136859,0.0,4.0,"Oct 23, 2021 @ 09:38:33"
"00003afc",2.806239280250737,4.0,4.0,2.850147392661692,0.0,4.0,3.4323033160592624,0.0,4.0,"Oct 23, 2021 @ 09:38:36"
"00003afc",1.6893022358482217,4.0,0.0,2.850147392661692,4.0,4.0,2.849731508369353,0.0,4.0,"Oct 23, 2021 @ 09:38:38"
"00003afc",1.6893022358482217,4.0,0.0,2.850147392661692,4.0,4.0,2.849731508369353,0.0,4.0,"Oct 23, 2021 @ 09:38:39"
"00003afc",1.6804130662971681,4.0,0.0,2.850147392661692,8.0,4.0,2.849731508369353,4.0,4.0,"Oct 23, 2021 @ 09:38:42"
"00003afc",1.6804130662971681,4.0,0.0,2.850147392661692,8.0,4.0,2.849731508369353,4.0,4.0,"Oct 23, 2021 @ 09:38:44"
"00003afc",2.856452647223879,4.0,8.0,2.8520066884161923,0.0,4.0,3.4339185224700555,4.0,4.0,"Oct 23, 2021 @ 09:38:45"
"00003afc",2.856452647223879,4.0,8.0,2.8520066884161923,0.0,4.0,3.4339185224700555,4.0,4.0,"Oct 23, 2021 @ 09:38:47"
"00003afc",2.856452647223879,4.0,8.0,2.8520066884161923,0.0,4.0,3.4339185224700555,4.0,4.0,"Oct 23, 2021 @ 09:38:49"
"00003afc",2.856452647223879,0.0,4.0,2.8520066884161923,4.0,0.0,3.4323033160592624,0.0,0.0,"Oct 23, 2021 @ 09:38:51"
"00003afc",2.856452647223879,0.0,4.0,2.850147392661692,4.0,0.0,3.4323033160592624,4.0,4.0,"Oct 23, 2021 @ 09:38:54"
"00003afc",2.856452647223879,0.0,4.0,2.850147392661692,4.0,0.0,3.4323033160592624,4.0,4.0,"Oct 23, 2021 @ 09:38:56"
"00003afc",2.856452647223879,0.0,4.0,2.850147392661692,4.0,0.0,3.4323033160592624,4.0,4.0,"Oct 23, 2021 @ 09:38:58"
"00003afc",1.6893022358482217,4.0,0.0,2.8520066884161923,4.0,4.0,2.849731508369353,4.0,4.0,"Oct 23, 2021 @ 09:39:02"
"00003afc",2.2506400450122035,4.0,0.0,3.436256510657859,8.0,4.0,3.4339185224700555,4.0,4.0,"Oct 23, 2021 @ 09:39:03"
"00003afc",2.2506400450122035,4.0,0.0,3.436256510657859,8.0,4.0,3.4339185224700555,4.0,4.0,"Oct 23, 2021 @ 09:39:06"
"00003afc",2.2506400450122035,4.0,0.0,3.436256510657859,8.0,4.0,3.4339185224700555,4.0,4.0,"Oct 23, 2021 @ 09:39:08"
"00003afc",2.2506400450122035,4.0,0.0,3.436256510657859,8.0,4.0,3.4339185224700555,4.0,4.0,"Oct 23, 2021 @ 09:39:09"
"00003afc",2.2506400450122035,4.0,4.0,3.4347302851147945,4.0,8.0,3.4323033160592624,0.0,4.0,"Oct 23, 2021 @ 09:39:11"
"00003afc",1.4776711609442952,0.0,0.0,2.850147392661692,4.0,0.0,2.849731508369353,4.0,4.0,"Oct 23, 2021 @ 09:39:13"
"00003afc",1.4776711609442952,0.0,0.0,2.850147392661692,4.0,0.0,2.849731508369353,4.0,4.0,"Oct 23, 2021 @ 09:39:15"
"00003afc",0.9354272927547019,0.0,4.0,1.6888312843156672,4.0,0.0,1.69175621621661,0.0,0.0,"Oct 23, 2021 @ 09:39:16"
"00003afc",2.806239280250737,4.0,8.0,2.8520066884161923,4.0,4.0,2.849731508369353,0.0,4.0,"Oct 23, 2021 @ 09:39:18"
