"_id","_index","_score","_type","acceleration","batteryPercentage","cyclicCount","instanceId","nearest","timestamp"
"1635008100239-00003afc","diract-proximity",,"_doc","['-0.75','-0.687','-0.375']",76,0,"00003afc","[{'instanceId':'0000004d','rssi':-61},{'instanceId':'00000058','rssi':-68},{'instanceId':'000000a9','rssi':-68}]","Oct 23, 2021 @ 12:54:59"
"1635008099564-0000a7c0","diract-proximity",,"_doc","['-0.937','0.375','0.313']",78,7,"0000a7c0","[{'instanceId':'0000004d','rssi':-65},{'instanceId':'000000ae','rssi':-67},{'instanceId':'00000058','rssi':-69}]","Oct 23, 2021 @ 12:54:58"
"1635008098848-00003afc","diract-proximity",,"_doc","['-0.687','-0.687','-0.375']",76,7,"00003afc","[{'instanceId':'0000004d','rssi':-62},{'instanceId':'00000058','rssi':-65},{'instanceId':'000000ae','rssi':-68}]","Oct 23, 2021 @ 12:54:57"
"1635008097462-00003afc","diract-proximity",,"_doc","['-0.75','-0.687','-0.437']",76,6,"00003afc","[{'instanceId':'00000059','rssi':-63},{'instanceId':'00000058','rssi':-67},{'instanceId':'0000004d','rssi':-69}]","Oct 23, 2021 @ 12:54:56"
"1635008097323-0000a7c0","diract-proximity",,"_doc","['-0.875','0.375','0.25']",78,6,"0000a7c0","[{'instanceId':'0000004d','rssi':-67},{'instanceId':'000000ae','rssi':-71},{'instanceId':'00000059','rssi':-73}]","Oct 23, 2021 @ 12:54:56"
"1635008095732-0000a7c0","diract-proximity",,"_doc","['-0.937','0.375','0.25']",78,5,"0000a7c0","[{'instanceId':'000000ae','rssi':-67},{'instanceId':'00000061','rssi':-71},{'instanceId':'0000004d','rssi':-71}]","Oct 23, 2021 @ 12:54:54"
"1635008095126-00003afc","diract-proximity",,"_doc","['-0.75','-0.687','-0.437']",76,6,"00003afc","[{'instanceId':'00000059','rssi':-63},{'instanceId':'00000058','rssi':-67},{'instanceId':'0000004d','rssi':-69}]","Oct 23, 2021 @ 12:54:54"
"1635008093634-00003afc","diract-proximity",,"_doc","['-0.75','-0.687','-0.437']",76,6,"00003afc","[{'instanceId':'00000059','rssi':-63},{'instanceId':'00000058','rssi':-67},{'instanceId':'0000004d','rssi':-69}]","Oct 23, 2021 @ 12:54:52"
"1635008093078-0000a7c0","diract-proximity",,"_doc","['-0.875','0.375','0.313']",78,3,"0000a7c0","[{'instanceId':'0000004d','rssi':-65},{'instanceId':'000000ae','rssi':-67},{'instanceId':'00000061','rssi':-70}]","Oct 23, 2021 @ 12:54:52"
"1635008092436-00003afc","diract-proximity",,"_doc","['-0.687','-0.687','-0.437']",76,3,"00003afc","[{'instanceId':'0000004d','rssi':-60},{'instanceId':'00000060','rssi':-70},{'instanceId':'00000061','rssi':-71}]","Oct 23, 2021 @ 12:54:51"
"1635008091852-0000a7c0","diract-proximity",,"_doc","['-0.937','0.375','0.25']",78,2,"0000a7c0","[{'instanceId':'0000004d','rssi':-65},{'instanceId':'000000ae','rssi':-66},{'instanceId':'00000059','rssi':-73}]","Oct 23, 2021 @ 12:54:50"
"1635008090709-0000a7c0","diract-proximity",,"_doc","['-0.937','0.375','0.25']",78,2,"0000a7c0","[{'instanceId':'0000004d','rssi':-65},{'instanceId':'000000ae','rssi':-66},{'instanceId':'00000059','rssi':-73}]","Oct 23, 2021 @ 12:54:49"
"1635008089439-00003afc","diract-proximity",,"_doc","['-0.687','-0.687','-0.437']",76,2,"00003afc","[{'instanceId':'0000004d','rssi':-60},{'instanceId':'00000059','rssi':-62},{'instanceId':'000000a9','rssi':-69}]","Oct 23, 2021 @ 12:54:48"
"1635008087926-0000a7c0","diract-proximity",,"_doc","['-0.937','0.375','0.25']",79,0,"0000a7c0","[{'instanceId':'000000ae','rssi':-67},{'instanceId':'0000004d','rssi':-68},{'instanceId':'0000004e','rssi':-74}]","Oct 23, 2021 @ 12:54:46"
"1635008086934-00003afc","diract-proximity",,"_doc","['-0.75','-0.687','-0.312']",76,7,"00003afc","[{'instanceId':'0000004d','rssi':-61},{'instanceId':'000000ae','rssi':-67},{'instanceId':'00000058','rssi':-69}]","Oct 23, 2021 @ 12:54:45"
"1635008086120-0000a7c0","diract-proximity",,"_doc","['-0.937','0.375','0.25']",79,7,"0000a7c0","[{'instanceId':'000000ae','rssi':-69},{'instanceId':'0000004d','rssi':-70},{'instanceId':'00000059','rssi':-74}]","Oct 23, 2021 @ 12:54:45"
"1635008085498-00003afc","diract-proximity",,"_doc","['-0.75','-0.687','-0.312']",76,7,"00003afc","[{'instanceId':'0000004d','rssi':-61},{'instanceId':'000000ae','rssi':-67},{'instanceId':'00000058','rssi':-69}]","Oct 23, 2021 @ 12:54:44"
"1635008084889-0000a7c0","diract-proximity",,"_doc","['-0.937','0.375','0.25']",79,7,"0000a7c0","[{'instanceId':'000000ae','rssi':-69},{'instanceId':'0000004d','rssi':-70},{'instanceId':'00000059','rssi':-74}]","Oct 23, 2021 @ 12:54:43"
